,threshold,N,n,errors,p,k,type,g
0,-0.005,100,5,1,0.01,1,train,1
1,-0.005,100,5,0,0.01,0,train,1
2,-0.005,100,5,0,0.01,0,train,1
3,-0.005,100,5,0,0.01,0,train,1
4,-0.005,100,5,1,0.01,1,train,1
5,-0.005,100,5,0,0.01,0,test,1
6,-0.005,100,5,1,0.01,17,test,1
7,-0.005,100,5,0,0.01,0,test,1
8,-0.005,100,5,1,0.01,1,test,1
9,-0.005,100,10,1,0.01,1,train,1
10,-0.005,100,10,0,0.01,0,train,1
11,-0.005,100,10,0,0.01,0,train,1
12,-0.005,100,10,0,0.01,0,train,1
13,-0.005,100,10,1,0.01,1,train,1
14,-0.005,100,10,0,0.01,0,train,1
15,-0.005,100,10,0,0.01,0,train,1
16,-0.005,100,10,0,0.01,0,train,1
17,-0.005,100,10,0,0.01,0,train,1
18,-0.005,100,10,1,0.01,1,train,1
19,-0.005,100,10,1,0.01,1,test,1
20,-0.005,100,10,0,0.01,0,test,1
21,-0.005,100,10,1,0.01,34,test,1
22,-0.005,100,10,0,0.01,0,test,1
23,-0.005,100,10,1,0.01,1,test,1
24,-0.005,100,10,1,0.01,1,test,1
25,-0.005,100,10,0,0.01,0,test,1
26,-0.005,100,10,1,0.01,1,test,1
27,-0.005,100,10,0,0.01,0,test,1
28,-0.005,100,15,1,0.01,1,train,1
29,-0.005,100,15,1,0.01,39,train,1
30,-0.005,100,15,0,0.01,0,train,1
31,-0.005,100,15,0,0.01,0,train,1
32,-0.005,100,15,1,0.01,1,train,1
33,-0.005,100,15,0,0.01,0,train,1
34,-0.005,100,15,0,0.01,0,train,1
35,-0.005,100,15,0,0.01,0,train,1
36,-0.005,100,15,0,0.01,0,train,1
37,-0.005,100,15,1,0.01,1,train,1
38,-0.005,100,15,1,0.01,1,train,1
39,-0.005,100,15,1,0.01,1,train,1
40,-0.005,100,15,0,0.01,0,train,1
41,-0.005,100,15,1,0.01,51,train,1
42,-0.005,100,15,0,0.01,0,train,1
43,-0.005,100,15,1,0.01,1,test,1
44,-0.005,100,15,0,0.01,0,test,1
45,-0.005,100,15,1,0.01,1,test,1
46,-0.005,100,15,0,0.01,0,test,1
47,-0.005,100,15,1,0.01,22,test,1
48,-0.005,100,15,0,0.01,0,test,1
49,-0.005,100,15,0,0.01,0,test,1
50,-0.005,100,15,1,0.01,13,test,1
51,-0.005,100,15,0,0.01,0,test,1
52,-0.005,100,15,0,0.01,0,test,1
53,-0.005,100,15,1,0.01,25,test,1
54,-0.005,100,15,1,0.01,1,test,1
55,-0.005,100,15,0,0.01,0,test,1
56,-0.005,100,15,1,0.01,41,test,1
57,-0.005,100,50,1,0.01,1,train,1
58,-0.005,100,50,1,0.01,39,train,1
59,-0.005,100,50,0,0.01,0,train,1
60,-0.005,100,50,0,0.01,0,train,1
61,-0.005,100,50,1,0.01,1,train,1
62,-0.005,100,50,0,0.01,0,train,1
63,-0.005,100,50,8,0.01,647,train,1
64,-0.005,100,50,0,0.01,0,train,1
65,-0.005,100,50,0,0.01,0,train,1
66,-0.005,100,50,1,0.01,1,train,1
67,-0.005,100,50,1,0.01,1,train,1
68,-0.005,100,50,1,0.01,1,train,1
69,-0.005,100,50,0,0.01,0,train,1
70,-0.005,100,50,1,0.01,51,train,1
71,-0.005,100,50,0,0.01,0,train,1
72,-0.005,100,50,1,0.01,1,train,1
73,-0.005,100,50,1,0.01,1,train,1
74,-0.005,100,50,0,0.01,0,train,1
75,-0.005,100,50,1,0.01,1,train,1
76,-0.005,100,50,0,0.01,0,train,1
77,-0.005,100,50,7,0.01,361,train,1
78,-0.005,100,50,0,0.01,0,train,1
79,-0.005,100,50,0,0.01,0,train,1
80,-0.005,100,50,2,0.01,137,train,1
81,-0.005,100,50,0,0.01,0,train,1
82,-0.005,100,50,0,0.01,0,train,1
83,-0.005,100,50,0,0.01,0,train,1
84,-0.005,100,50,1,0.01,1,train,1
85,-0.005,100,50,0,0.01,0,train,1
86,-0.005,100,50,7,0.01,328,train,1
87,-0.005,100,50,0,0.01,0,train,1
88,-0.005,100,50,1,0.01,1,train,1
89,-0.005,100,50,1,0.01,1,train,1
90,-0.005,100,50,7,0.01,361,train,1
91,-0.005,100,50,7,0.01,361,train,1
92,-0.005,100,50,1,0.01,1,train,1
93,-0.005,100,50,1,0.01,1,train,1
94,-0.005,100,50,6,0.01,248,train,1
95,-0.005,100,50,1,0.01,1,train,1
96,-0.005,100,50,0,0.01,0,train,1
97,-0.005,100,50,0,0.01,0,train,1
98,-0.005,100,50,3,0.01,288,train,1
99,-0.005,100,50,6,0.01,361,train,1
100,-0.005,100,50,1,0.01,13,train,1
101,-0.005,100,50,1,0.01,1,train,1
102,-0.005,100,50,0,0.01,0,train,1
103,-0.005,100,50,0,0.01,0,train,1
104,-0.005,100,50,0,0.01,0,train,1
105,-0.005,100,50,0,0.01,0,train,1
106,-0.005,100,50,0,0.01,0,train,1
107,-0.005,100,50,0,0.01,0,test,1
108,-0.005,100,50,8,0.01,647,test,1
109,-0.005,100,50,1,0.01,84,test,1
110,-0.005,100,50,2,0.01,32,test,1
111,-0.005,100,50,10,0.01,328,test,1
112,-0.005,100,50,0,0.01,0,test,1
113,-0.005,100,50,1,0.01,1,test,1
114,-0.005,100,50,3,0.01,17,test,1
115,-0.005,100,50,4,0.01,137,test,1
116,-0.005,100,50,1,0.01,18,test,1
117,-0.005,100,50,0,0.01,0,test,1
118,-0.005,100,50,1,0.01,84,test,1
119,-0.005,100,50,2,0.01,61,test,1
120,-0.005,100,50,1,0.01,1,test,1
121,-0.005,100,50,0,0.01,0,test,1
122,-0.005,100,50,1,0.01,1,test,1
123,-0.005,100,50,0,0.01,0,test,1
124,-0.005,100,50,1,0.01,61,test,1
125,-0.005,100,50,3,0.01,52,test,1
126,-0.005,100,50,1,0.01,1,test,1
127,-0.005,100,50,1,0.01,1,test,1
128,-0.005,100,50,1,0.01,1,test,1
129,-0.005,100,50,0,0.01,0,test,1
130,-0.005,100,50,1,0.01,1,test,1
131,-0.005,100,50,1,0.01,14,test,1
132,-0.005,100,50,1,0.01,1,test,1
133,-0.005,100,50,1,0.01,1,test,1
134,-0.005,100,50,0,0.01,0,test,1
135,-0.005,100,50,1,0.01,1,test,1
136,-0.005,100,50,3,0.01,28,test,1
137,-0.005,100,50,0,0.01,0,test,1
138,-0.005,100,50,1,0.01,1,test,1
139,-0.005,100,50,0,0.01,0,test,1
140,-0.005,100,50,2,0.01,159,test,1
141,-0.005,100,50,0,0.01,0,test,1
142,-0.005,100,50,1,0.01,8,test,1
143,-0.005,100,50,1,0.01,26,test,1
144,-0.005,100,50,1,0.01,84,test,1
145,-0.005,100,50,0,0.01,0,test,1
146,-0.005,100,50,1,0.01,1,test,1
147,-0.005,100,50,1,0.01,1,test,1
148,-0.005,100,50,1,0.01,1,test,1
149,-0.005,100,50,8,0.01,361,test,1
150,-0.005,100,50,3,0.01,186,test,1
151,-0.005,100,50,3,0.01,283,test,1
152,-0.005,100,50,0,0.01,0,test,1
153,-0.005,100,50,1,0.01,1,test,1
154,-0.005,100,50,1,0.01,1,test,1
155,-0.005,100,50,0,0.01,0,test,1
156,-0.005,100,100,35,0.01,597,train,1
157,-0.005,100,100,1,0.01,39,train,1
158,-0.005,100,100,4,0.01,105,train,1
159,-0.005,100,100,19,0.01,647,train,1
160,-0.005,100,100,35,0.01,597,train,1
161,-0.005,100,100,0,0.01,0,train,1
162,-0.005,100,100,20,0.01,1057,train,1
163,-0.005,100,100,19,0.01,647,train,1
164,-0.005,100,100,0,0.01,0,train,1
165,-0.005,100,100,35,0.01,597,train,1
166,-0.005,100,100,35,0.01,597,train,1
167,-0.005,100,100,35,0.01,597,train,1
168,-0.005,100,100,20,0.01,1165,train,1
169,-0.005,100,100,1,0.01,51,train,1
170,-0.005,100,100,0,0.01,0,train,1
171,-0.005,100,100,35,0.01,597,train,1
172,-0.005,100,100,35,0.01,597,train,1
173,-0.005,100,100,3,0.01,186,train,1
174,-0.005,100,100,35,0.01,597,train,1
175,-0.005,100,100,0,0.01,0,train,1
176,-0.005,100,100,19,0.01,1021,train,1
177,-0.005,100,100,0,0.01,0,train,1
178,-0.005,100,100,0,0.01,0,train,1
179,-0.005,100,100,4,0.01,141,train,1
180,-0.005,100,100,20,0.01,1021,train,1
181,-0.005,100,100,0,0.01,0,train,1
182,-0.005,100,100,0,0.01,0,train,1
183,-0.005,100,100,35,0.01,597,train,1
184,-0.005,100,100,20,0.01,1165,train,1
185,-0.005,100,100,19,0.01,568,train,1
186,-0.005,100,100,0,0.01,0,train,1
187,-0.005,100,100,35,0.01,597,train,1
188,-0.005,100,100,35,0.01,597,train,1
189,-0.005,100,100,19,0.01,1021,train,1
190,-0.005,100,100,19,0.01,1021,train,1
191,-0.005,100,100,35,0.01,597,train,1
192,-0.005,100,100,35,0.01,597,train,1
193,-0.005,100,100,18,0.01,568,train,1
194,-0.005,100,100,35,0.01,597,train,1
195,-0.005,100,100,4,0.01,188,train,1
196,-0.005,100,100,0,0.01,0,train,1
197,-0.005,100,100,5,0.01,288,train,1
198,-0.005,100,100,18,0.01,1021,train,1
199,-0.005,100,100,3,0.01,141,train,1
200,-0.005,100,100,35,0.01,597,train,1
201,-0.005,100,100,1,0.01,38,train,1
202,-0.005,100,100,0,0.01,0,train,1
203,-0.005,100,100,0,0.01,0,train,1
204,-0.005,100,100,0,0.01,0,train,1
205,-0.005,100,100,5,0.01,484,train,1
206,-0.005,100,100,35,0.01,597,train,1
207,-0.005,100,100,3,0.01,29,train,1
208,-0.005,100,100,20,0.01,1057,train,1
209,-0.005,100,100,5,0.01,125,train,1
210,-0.005,100,100,4,0.01,188,train,1
211,-0.005,100,100,18,0.01,568,train,1
212,-0.005,100,100,3,0.01,28,train,1
213,-0.005,100,100,35,0.01,597,train,1
214,-0.005,100,100,18,0.01,647,train,1
215,-0.005,100,100,4,0.01,141,train,1
216,-0.005,100,100,4,0.01,288,train,1
217,-0.005,100,100,0,0.01,0,train,1
218,-0.005,100,100,5,0.01,125,train,1
219,-0.005,100,100,4,0.01,105,train,1
220,-0.005,100,100,35,0.01,597,train,1
221,-0.005,100,100,0,0.01,0,train,1
222,-0.005,100,100,35,0.01,597,train,1
223,-0.005,100,100,3,0.01,29,train,1
224,-0.005,100,100,4,0.01,125,train,1
225,-0.005,100,100,18,0.01,647,train,1
226,-0.005,100,100,35,0.01,597,train,1
227,-0.005,100,100,35,0.01,597,train,1
228,-0.005,100,100,35,0.01,597,train,1
229,-0.005,100,100,0,0.01,0,train,1
230,-0.005,100,100,35,0.01,597,train,1
231,-0.005,100,100,19,0.01,1021,train,1
232,-0.005,100,100,35,0.01,597,train,1
233,-0.005,100,100,35,0.01,597,train,1
234,-0.005,100,100,0,0.01,0,train,1
235,-0.005,100,100,35,0.01,597,train,1
236,-0.005,100,100,0,0.01,0,train,1
237,-0.005,100,100,3,0.01,29,train,1
238,-0.005,100,100,35,0.01,597,train,1
239,-0.005,100,100,0,0.01,0,train,1
240,-0.005,100,100,19,0.01,1021,train,1
241,-0.005,100,100,20,0.01,1165,train,1
242,-0.005,100,100,19,0.01,1165,train,1
243,-0.005,100,100,0,0.01,0,train,1
244,-0.005,100,100,5,0.01,125,train,1
245,-0.005,100,100,0,0.01,0,train,1
246,-0.005,100,100,35,0.01,597,train,1
247,-0.005,100,100,35,0.01,597,train,1
248,-0.005,100,100,35,0.01,597,train,1
249,-0.005,100,100,20,0.01,1021,train,1
250,-0.005,100,100,2,0.01,186,train,1
251,-0.005,100,100,18,0.01,1021,train,1
252,-0.005,100,100,0,0.01,0,train,1
253,-0.005,100,100,35,0.01,597,train,1
254,-0.005,100,100,35,0.01,597,train,1
255,-0.005,100,100,0,0.01,0,train,1
256,-0.005,100,100,35,0.01,597,test,1
257,-0.005,100,100,7,0.01,288,test,1
258,-0.005,100,100,35,0.01,597,test,1
259,-0.005,100,100,20,0.01,1021,test,1
260,-0.005,100,100,35,0.01,597,test,1
261,-0.005,100,100,34,0.01,597,test,1
262,-0.005,100,100,20,0.01,1165,test,1
263,-0.005,100,100,35,0.01,597,test,1
264,-0.005,100,100,35,0.01,597,test,1
265,-0.005,100,100,23,0.01,1165,test,1
266,-0.005,100,100,34,0.01,597,test,1
267,-0.005,100,100,21,0.01,1021,test,1
268,-0.005,100,100,5,0.01,44,test,1
269,-0.005,100,100,20,0.01,1144,test,1
270,-0.005,100,100,35,0.01,597,test,1
271,-0.005,100,100,0,0.01,0,test,1
272,-0.005,100,100,35,0.01,597,test,1
273,-0.005,100,100,23,0.01,645,test,1
274,-0.005,100,100,34,0.01,597,test,1
275,-0.005,100,100,35,0.01,597,test,1
276,-0.005,100,100,35,0.01,597,test,1
277,-0.005,100,100,33,0.01,597,test,1
278,-0.005,100,100,33,0.01,597,test,1
279,-0.005,100,100,35,0.01,597,test,1
280,-0.005,100,100,5,0.01,141,test,1
281,-0.005,100,100,6,0.01,288,test,1
282,-0.005,100,100,35,0.01,597,test,1
283,-0.005,100,100,35,0.01,597,test,1
284,-0.005,100,100,21,0.01,1165,test,1
285,-0.005,100,100,33,0.01,597,test,1
286,-0.005,100,100,35,0.01,597,test,1
287,-0.005,100,100,34,0.01,597,test,1
288,-0.005,100,100,0,0.01,0,test,1
289,-0.005,100,100,36,0.01,597,test,1
290,-0.005,100,100,5,0.01,264,test,1
291,-0.005,100,100,5,0.01,188,test,1
292,-0.005,100,100,35,0.01,597,test,1
293,-0.005,100,100,35,0.01,597,test,1
294,-0.005,100,100,3,0.01,186,test,1
295,-0.005,100,100,35,0.01,597,test,1
296,-0.005,100,100,5,0.01,141,test,1
297,-0.005,100,100,4,0.01,61,test,1
298,-0.005,100,100,34,0.01,597,test,1
299,-0.005,100,100,20,0.01,1021,test,1
300,-0.005,100,100,34,0.01,597,test,1
301,-0.005,100,100,35,0.01,597,test,1
302,-0.005,100,100,5,0.01,125,test,1
303,-0.005,100,100,35,0.01,597,test,1
304,-0.005,100,100,20,0.01,1144,test,1
305,-0.005,100,100,0,0.01,0,test,1
306,-0.005,100,100,1,0.01,3,test,1
307,-0.005,100,100,0,0.01,0,test,1
308,-0.005,100,100,34,0.01,597,test,1
309,-0.005,100,100,35,0.01,597,test,1
310,-0.005,100,100,35,0.01,597,test,1
311,-0.005,100,100,35,0.01,597,test,1
312,-0.005,100,100,36,0.01,597,test,1
313,-0.005,100,100,35,0.01,597,test,1
314,-0.005,100,100,5,0.01,105,test,1
315,-0.005,100,100,35,0.01,597,test,1
316,-0.005,100,100,35,0.01,597,test,1
317,-0.005,100,100,5,0.01,484,test,1
318,-0.005,100,100,35,0.01,597,test,1
319,-0.005,100,100,0,0.01,0,test,1
320,-0.005,100,100,35,0.01,597,test,1
321,-0.005,100,100,20,0.01,1165,test,1
322,-0.005,100,100,35,0.01,597,test,1
323,-0.005,100,100,35,0.01,597,test,1
324,-0.005,100,100,35,0.01,597,test,1
325,-0.005,100,100,35,0.01,597,test,1
326,-0.005,100,100,35,0.01,597,test,1
327,-0.005,100,100,3,0.01,29,test,1
328,-0.005,100,100,34,0.01,597,test,1
329,-0.005,100,100,6,0.01,200,test,1
330,-0.005,100,100,35,0.01,597,test,1
331,-0.005,100,100,3,0.01,200,test,1
332,-0.005,100,100,35,0.01,597,test,1
333,-0.005,100,100,34,0.01,597,test,1
334,-0.005,100,100,20,0.01,647,test,1
335,-0.005,100,100,35,0.01,597,test,1
336,-0.005,100,100,21,0.01,647,test,1
337,-0.005,100,100,5,0.01,288,test,1
338,-0.005,100,100,6,0.01,186,test,1
339,-0.005,100,100,22,0.01,1021,test,1
340,-0.005,100,100,1,0.01,2,test,1
341,-0.005,100,100,0,0.01,0,test,1
342,-0.005,100,100,35,0.01,597,test,1
343,-0.005,100,100,20,0.01,647,test,1
344,-0.005,100,100,35,0.01,597,test,1
345,-0.005,100,100,5,0.01,484,test,1
346,-0.005,100,100,35,0.01,597,test,1
347,-0.005,100,100,1,0.01,68,test,1
348,-0.005,100,100,3,0.01,29,test,1
349,-0.005,100,100,35,0.01,597,test,1
350,-0.005,100,100,35,0.01,597,test,1
351,-0.005,100,100,0,0.01,0,test,1
352,-0.005,100,100,2,0.01,42,test,1
353,-0.005,100,100,34,0.01,597,test,1
354,-0.005,100,100,33,0.01,597,test,1
355,-0.095,100,5,11,0.1,230,train,1
356,-0.095,100,5,0,0.1,0,train,1
357,-0.095,100,5,27,0.1,597,train,1
358,-0.095,100,5,22,0.1,244,train,1
359,-0.095,100,5,11,0.1,244,train,1
360,-0.095,100,5,54,0.1,353,test,1
361,-0.095,100,5,51,0.1,353,test,1
362,-0.095,100,5,28,0.1,353,test,1
363,-0.095,100,5,51,0.1,353,test,1
364,-0.095,100,10,11,0.1,230,train,1
365,-0.095,100,10,0,0.1,0,train,1
366,-0.095,100,10,36,0.1,555,train,1
367,-0.095,100,10,23,0.1,244,train,1
368,-0.095,100,10,11,0.1,244,train,1
369,-0.095,100,10,22,0.1,244,train,1
370,-0.095,100,10,9,0.1,228,train,1
371,-0.095,100,10,0,0.1,0,train,1
372,-0.095,100,10,29,0.1,247,train,1
373,-0.095,100,10,6,0.1,175,train,1
374,-0.095,100,10,31,0.1,454,test,1
375,-0.095,100,10,35,0.1,244,test,1
376,-0.095,100,10,31,0.1,597,test,1
377,-0.095,100,10,37,0.1,328,test,1
378,-0.095,100,10,34,0.1,597,test,1
379,-0.095,100,10,37,0.1,283,test,1
380,-0.095,100,10,43,0.1,328,test,1
381,-0.095,100,10,40,0.1,597,test,1
382,-0.095,100,10,56,0.1,597,test,1
383,-0.095,100,15,20,0.1,246,train,1
384,-0.095,100,15,32,0.1,926,train,1
385,-0.095,100,15,39,0.1,762,train,1
386,-0.095,100,15,41,0.1,442,train,1
387,-0.095,100,15,20,0.1,244,train,1
388,-0.095,100,15,30,0.1,655,train,1
389,-0.095,100,15,35,0.1,1118,train,1
390,-0.095,100,15,23,0.1,411,train,1
391,-0.095,100,15,35,0.1,568,train,1
392,-0.095,100,15,22,0.1,366,train,1
393,-0.095,100,15,48,0.1,2070,train,1
394,-0.095,100,15,18,0.1,244,train,1
395,-0.095,100,15,42,0.1,491,train,1
396,-0.095,100,15,31,0.1,550,train,1
397,-0.095,100,15,30,0.1,939,train,1
398,-0.095,100,15,41,0.1,601,test,1
399,-0.095,100,15,44,0.1,939,test,1
400,-0.095,100,15,39,0.1,1370,test,1
401,-0.095,100,15,38,0.1,337,test,1
402,-0.095,100,15,44,0.1,246,test,1
403,-0.095,100,15,44,0.1,926,test,1
404,-0.095,100,15,50,0.1,1195,test,1
405,-0.095,100,15,44,0.1,597,test,1
406,-0.095,100,15,46,0.1,1533,test,1
407,-0.095,100,15,41,0.1,597,test,1
408,-0.095,100,15,36,0.1,993,test,1
409,-0.095,100,15,45,0.1,581,test,1
410,-0.095,100,15,47,0.1,926,test,1
411,-0.095,100,15,51,0.1,1584,test,1
412,-0.095,100,50,47,0.1,693,train,1
413,-0.095,100,50,55,0.1,1138,train,1
414,-0.095,100,50,47,0.1,928,train,1
415,-0.095,100,50,55,0.1,1155,train,1
416,-0.095,100,50,49,0.1,632,train,1
417,-0.095,100,50,53,0.1,1348,train,1
418,-0.095,100,50,45,0.1,832,train,1
419,-0.095,100,50,56,0.1,1358,train,1
420,-0.095,100,50,62,0.1,1298,train,1
421,-0.095,100,50,54,0.1,1249,train,1
422,-0.095,100,50,50,0.1,832,train,1
423,-0.095,100,50,46,0.1,627,train,1
424,-0.095,100,50,48,0.1,1053,train,1
425,-0.095,100,50,38,0.1,335,train,1
426,-0.095,100,50,46,0.1,926,train,1
427,-0.095,100,50,45,0.1,1053,train,1
428,-0.095,100,50,58,0.1,926,train,1
429,-0.095,100,50,42,0.1,502,train,1
430,-0.095,100,50,56,0.1,579,train,1
431,-0.095,100,50,52,0.1,1309,train,1
432,-0.095,100,50,48,0.1,832,train,1
433,-0.095,100,50,43,0.1,640,train,1
434,-0.095,100,50,45,0.1,645,train,1
435,-0.095,100,50,55,0.1,926,train,1
436,-0.095,100,50,32,0.1,1053,train,1
437,-0.095,100,50,54,0.1,1358,train,1
438,-0.095,100,50,57,0.1,926,train,1
439,-0.095,100,50,48,0.1,497,train,1
440,-0.095,100,50,50,0.1,626,train,1
441,-0.095,100,50,50,0.1,1358,train,1
442,-0.095,100,50,51,0.1,436,train,1
443,-0.095,100,50,35,0.1,803,train,1
444,-0.095,100,50,59,0.1,627,train,1
445,-0.095,100,50,50,0.1,1053,train,1
446,-0.095,100,50,53,0.1,812,train,1
447,-0.095,100,50,64,0.1,1479,train,1
448,-0.095,100,50,50,0.1,1348,train,1
449,-0.095,100,50,42,0.1,1291,train,1
450,-0.095,100,50,45,0.1,1291,train,1
451,-0.095,100,50,54,0.1,464,train,1
452,-0.095,100,50,56,0.1,926,train,1
453,-0.095,100,50,58,0.1,929,train,1
454,-0.095,100,50,55,0.1,640,train,1
455,-0.095,100,50,60,0.1,2404,train,1
456,-0.095,100,50,49,0.1,693,train,1
457,-0.095,100,50,53,0.1,929,train,1
458,-0.095,100,50,55,0.1,832,train,1
459,-0.095,100,50,38,0.1,926,train,1
460,-0.095,100,50,54,0.1,1358,train,1
461,-0.095,100,50,43,0.1,926,train,1
462,-0.095,100,50,56,0.1,646,test,1
463,-0.095,100,50,51,0.1,671,test,1
464,-0.095,100,50,55,0.1,1358,test,1
465,-0.095,100,50,51,0.1,926,test,1
466,-0.095,100,50,53,0.1,646,test,1
467,-0.095,100,50,48,0.1,579,test,1
468,-0.095,100,50,57,0.1,926,test,1
469,-0.095,100,50,60,0.1,693,test,1
470,-0.095,100,50,53,0.1,1138,test,1
471,-0.095,100,50,48,0.1,803,test,1
472,-0.095,100,50,55,0.1,926,test,1
473,-0.095,100,50,53,0.1,926,test,1
474,-0.095,100,50,54,0.1,1358,test,1
475,-0.095,100,50,60,0.1,1358,test,1
476,-0.095,100,50,59,0.1,646,test,1
477,-0.095,100,50,57,0.1,579,test,1
478,-0.095,100,50,54,0.1,645,test,1
479,-0.095,100,50,49,0.1,1291,test,1
480,-0.095,100,50,44,0.1,803,test,1
481,-0.095,100,50,56,0.1,1348,test,1
482,-0.095,100,50,47,0.1,803,test,1
483,-0.095,100,50,59,0.1,693,test,1
484,-0.095,100,50,52,0.1,926,test,1
485,-0.095,100,50,55,0.1,494,test,1
486,-0.095,100,50,55,0.1,693,test,1
487,-0.095,100,50,46,0.1,1098,test,1
488,-0.095,100,50,45,0.1,1053,test,1
489,-0.095,100,50,53,0.1,645,test,1
490,-0.095,100,50,52,0.1,494,test,1
491,-0.095,100,50,44,0.1,645,test,1
492,-0.095,100,50,55,0.1,693,test,1
493,-0.095,100,50,53,0.1,640,test,1
494,-0.095,100,50,56,0.1,832,test,1
495,-0.095,100,50,50,0.1,1053,test,1
496,-0.095,100,50,53,0.1,693,test,1
497,-0.095,100,50,48,0.1,645,test,1
498,-0.095,100,50,49,0.1,1053,test,1
499,-0.095,100,50,57,0.1,778,test,1
500,-0.095,100,50,51,0.1,693,test,1
501,-0.095,100,50,60,0.1,1358,test,1
502,-0.095,100,50,53,0.1,671,test,1
503,-0.095,100,50,47,0.1,538,test,1
504,-0.095,100,50,50,0.1,784,test,1
505,-0.095,100,50,54,0.1,926,test,1
506,-0.095,100,50,54,0.1,627,test,1
507,-0.095,100,50,47,0.1,579,test,1
508,-0.095,100,50,46,0.1,1358,test,1
509,-0.095,100,50,48,0.1,579,test,1
510,-0.095,100,50,51,0.1,645,test,1
511,-0.095,100,100,50,0.1,1144,train,1
512,-0.095,100,100,50,0.1,1220,train,1
513,-0.095,100,100,52,0.1,1220,train,1
514,-0.095,100,100,54,0.1,597,train,1
515,-0.095,100,100,50,0.1,597,train,1
516,-0.095,100,100,56,0.1,1220,train,1
517,-0.095,100,100,52,0.1,1220,train,1
518,-0.095,100,100,51,0.1,672,train,1
519,-0.095,100,100,55,0.1,1220,train,1
520,-0.095,100,100,55,0.1,1382,train,1
521,-0.095,100,100,47,0.1,685,train,1
522,-0.095,100,100,54,0.1,1144,train,1
523,-0.095,100,100,47,0.1,1801,train,1
524,-0.095,100,100,51,0.1,1220,train,1
525,-0.095,100,100,45,0.1,597,train,1
526,-0.095,100,100,54,0.1,1023,train,1
527,-0.095,100,100,61,0.1,1220,train,1
528,-0.095,100,100,53,0.1,1707,train,1
529,-0.095,100,100,49,0.1,685,train,1
530,-0.095,100,100,55,0.1,1023,train,1
531,-0.095,100,100,45,0.1,1023,train,1
532,-0.095,100,100,52,0.1,2181,train,1
533,-0.095,100,100,46,0.1,929,train,1
534,-0.095,100,100,58,0.1,1976,train,1
535,-0.095,100,100,41,0.1,685,train,1
536,-0.095,100,100,54,0.1,813,train,1
537,-0.095,100,100,58,0.1,929,train,1
538,-0.095,100,100,51,0.1,1023,train,1
539,-0.095,100,100,51,0.1,1220,train,1
540,-0.095,100,100,47,0.1,1220,train,1
541,-0.095,100,100,52,0.1,1023,train,1
542,-0.095,100,100,40,0.1,1220,train,1
